"","sp","area_ha","mean_abundance","Tol"
"106","sp51",385805.321558106,19,1.65496
"107","sp52",306384.950759888,20.7317073170732,0.93637
"108","sp53",187612.79348623,3.5,0.19188
"109","sp54",436067.307423389,8.1578947368421,0.37668
"110","sp55",5699012.62848906,2.45454545454545,2.5011
"111","sp56",9345018.69567852,19.0967741935484,1.49255
"112","sp57",1117076.99662478,2.96969696969697,1.77174
"113","sp58",459505.759595374,45.7926829268293,0.65699
"114","sp59",9144108.41797747,10.921875,1.85216
"115","sp6",314.159265358979,1,0
"116","sp60",10736938.2306781,20.2056074766355,1.50511
"117","sp61",357282.93075564,6.28571428571429,0.29898
"118","sp62",8669701.21531355,15.4380952380952,0.54857
"119","sp63",1354179.29695405,11.7936507936508,1.73884
"120","sp64",304495.373558252,1.55555555555556,0.25482
"121","sp65",314.159265358979,3.07692307692308,0.63273
"122","sp66",314.159265358979,1,0.17113
"123","sp67",314.159265358979,1,0
"124","sp68",946555.507094409,1.3,1.60816
"125","sp69",628.318530717959,3,1.86894
"126","sp7",434021.863977673,7.37254901960784,0.69699
"127","sp70",6403037.71630645,1.26666666666667,2.10307
"128","sp71",8183785.27363052,3.17045454545455,1.04195
"129","sp72",933944.079071631,2.5,0.48498
"130","sp73",317228.030508594,2.8125,0.53461
"131","sp74",1140012.15471187,3.0625,0.64592
"132","sp75",413177.039112451,1.28571428571429,0.67256
"133","sp76",314.159265358979,1.5,0.34624
"134","sp77",6713764.67679932,3.64912280701754,0.69145
"135","sp78",988902.480186353,1.5,0.35887
"136","sp79",6074805.0921344,4.32692307692308,0.52726
"137","sp8",477732.699331055,16.8026315789474,0.56164
"138","sp80",99648.1175600586,1.25,0.4521
"139","sp81",10390203.5555877,5.47422680412371,0.46064
"140","sp82",463982.120263757,9.85227272727273,0.56631
"141","sp83",314.159265358979,1,0
"142","sp84",9357413.43375034,21.047619047619,2.40017
"143","sp85",457739.358506091,11.5853658536585,0.85955
"144","sp86",1303003.83172717,34.3913043478261,1.23116
"145","sp87",9676150.57752766,11.968,1.35738
"146","sp88",314.159265358979,5.98214285714286,0.30679
"147","sp89",411066.870381201,3.90697674418605,0.7599
"148","sp9",191420.345498242,1.875,0.17409
"149","sp90",7885276.74888518,2,0.5632
"150","sp91",1022472.15672976,4.13333333333333,0.82106
"151","sp92",314.1591360107,1,0
"152","sp93",628.318530717959,2,7e-05
"153","sp94",9742327.6060969,2.65686274509804,0.71766
"154","sp95",265076.533509399,26.5365853658537,1.18319
"155","sp96",262178.705880933,1.4,0.45174
"156","sp97",1370641.47973279,2.40625,0.47506
"157","sp98",10298746.5298008,2.55,0.76614
"158","sp99",9019360.96585696,19.5,2.259
